jubilado,pareja,dependientes,antigüedad,servicio_internet,seguridad_online,copia_seguridad_online,protección_dispositivo,soporte_técnico,streaming_películas,contrato,factura_electrónica,método_pago,cargos_mensuales,cargos_totales,abandono
0.0,1.0,0.0,1.0681818181818181,0.0,0.0,-0.5,1.0,0.0,0.5,1.0,-1.0,-2.0,-0.025090415913200725,5.42209453212774,0
0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.5,1.0,0.0,0.5,2.0,0.0,-2.0,-0.022980711271850512,5.934181560389538,0
0.0,1.0,1.0,0.5454545454545454,1.0,1.0,0.0,0.5,1.0,0.0,1.0,-1.0,1.0,0.20094936708860758,-0.1538665638512659,0
0.0,1.0,1.0,1.0454545454545454,-1.0,2.0,0.5,0.0,2.0,0.5,2.0,-1.0,-2.0,1.0734629294755877,4.539042904700903,0
0.0,1.0,0.0,0.8181818181818182,0.0,0.0,-0.5,1.0,0.0,0.5,1.0,-1.0,-1.0,1.3371760096443641,0.22051415991940598,0
0.0,0.0,0.0,0.11363636363636363,-1.0,2.0,0.5,0.0,0.0,-0.5,2.0,-1.0,-2.0,0.6213833634719711,0.9920774100468888,0
0.0,1.0,0.0,0.6136363636363636,0.0,0.0,-0.5,1.0,2.0,0.5,1.0,0.0,-1.0,1.3205997588908982,0.15747339444216427,0
0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,2.0,-0.5,2.0,-1.0,-2.0,-0.05357142857142857,-0.030720246756961805,0
1.0,0.0,0.0,0.22727272727272727,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.05522905364677517,-0.22844089565480558,0
0.0,1.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,-2.0,-0.06080470162748644,-0.11662085577237997,0
0.0,0.0,0.0,0.9772727272727273,-1.0,2.0,-0.5,1.0,2.0,0.5,2.0,-1.0,-1.0,0.7283755274261603,0.07458262336811644,0
0.0,1.0,1.0,0.4090909090909091,-1.0,0.0,0.5,1.0,2.0,0.5,1.0,-1.0,1.0,-0.08416214587100664,-0.04751895658951366,0
0.0,1.0,0.0,0.06818181818181818,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,-2.0,-0.14459011452682338,-0.20842505876646394,0
0.0,0.0,0.0,1.1363636363636365,-1.0,2.0,0.5,1.0,2.0,-0.5,2.0,0.0,-2.0,-0.06185955394816154,4.174131147676911,0
0.0,1.0,1.0,1.1363636363636365,0.0,2.0,0.5,0.0,2.0,0.5,2.0,0.0,-1.0,1.2979957805907174,0.3291751136980793,0
0.0,0.0,0.0,0.09090909090909091,-1.0,2.0,0.5,0.0,0.0,-0.5,0.0,0.0,-2.0,-0.07029837251356238,1.2419851663909722,0
0.0,0.0,0.0,-0.4318181818181818,-1.0,0.0,-0.5,0.0,2.0,-0.5,0.0,0.0,1.0,0.5822031344183243,-0.23790986240148584,0
0.0,0.0,0.0,0.7272727272727273,-1.0,2.0,0.5,0.0,0.0,0.5,2.0,-1.0,-2.0,-0.10540988547317662,1.7659291319975623,0
0.0,0.0,0.0,-0.45454545454545453,1.0,1.0,0.0,0.5,1.0,0.0,0.0,-1.0,-1.0,0.13163050030138637,-0.24762757608546945,0
1.0,0.0,0.0,1.1363636363636365,0.0,2.0,0.5,0.0,2.0,0.5,2.0,0.0,-2.0,-0.009116937914406268,0.39178471781732854,0
0.0,1.0,1.0,1.1363636363636365,0.0,2.0,-0.5,1.0,2.0,0.5,2.0,-1.0,1.0,1.4441681735985534,0.37768905803680625,0
0.0,0.0,0.0,0.6136363636363636,0.0,0.0,0.5,0.0,2.0,0.5,1.0,0.0,-2.0,1.4321127185051237,0.1779784336405358,0
0.0,1.0,1.0,-0.20454545454545456,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.12409584086799276,-0.24844844097857044,0
0.0,0.0,0.0,-0.45454545454545453,-1.0,2.0,-0.5,0.0,0.0,-0.5,0.0,-1.0,1.0,0.5927516576250753,-0.14851021313466745,0
0.0,0.0,0.0,-0.2727272727272727,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0,-1.0,1.0,0.88208257986739,-0.18955345778971763,0
0.0,1.0,1.0,-0.13636363636363635,1.0,1.0,0.0,0.5,1.0,0.0,0.0,-1.0,1.0,0.11656118143459916,-0.22766148858458846,0
0.0,0.0,0.0,-0.4772727272727273,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0,-0.06969559975889089,-0.24474211161275078,0
0.0,0.0,0.0,0.7045454545454546,-1.0,2.0,0.5,0.0,0.0,0.5,0.0,0.0,-2.0,-0.10525919228450874,1.8611992089847393,0
0.0,0.0,1.0,0.022727272727272728,1.0,1.0,0.0,0.5,1.0,0.0,1.0,-1.0,1.0,-0.14519288728149488,0.13539295797420495,0
0.0,0.0,0.0,0.2727272727272727,1.0,1.0,0.0,0.5,1.0,0.0,0.0,-1.0,1.0,-0.14534358047016274,-0.19452010497120753,0
0.0,1.0,0.0,-0.022727272727272728,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.03292646172393008,1.3649490690645871,0
0.0,0.0,0.0,0.38636363636363635,-1.0,2.0,-0.5,0.0,0.0,-0.5,1.0,0.0,0.0,0.546036769138035,-0.09412584107558175,0
0.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.0,0.5,1.0,0.0,1.0,-1.0,-2.0,0.1256027727546715,-0.14732451940018823,0
0.0,1.0,0.0,0.22727272727272727,1.0,1.0,0.0,0.5,1.0,0.0,1.0,-1.0,1.0,-0.14594635322483424,-0.20135235418247246,0
0.0,1.0,1.0,1.0454545454545454,-1.0,2.0,0.5,1.0,2.0,0.5,2.0,0.0,-2.0,1.1668927064496686,0.2623616863384036,0
1.0,0.0,0.0,0.7954545454545454,-1.0,0.0,0.5,1.0,0.0,0.5,2.0,0.0,-2.0,1.0267480409885472,0.11745830379463452,0
0.0,1.0,0.0,1.0227272727272727,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,-2.0,0.13916515973478,-0.14047568705976973,0
0.0,1.0,0.0,0.7272727272727273,0.0,2.0,0.5,1.0,0.0,0.5,0.0,-1.0,0.0,1.4758137432188065,4.823028991455542,0
0.0,0.0,0.0,0.38636363636363635,-1.0,2.0,0.5,0.0,2.0,-0.5,1.0,0.0,-2.0,-0.11430078360458107,-0.11535224639213296,0
0.0,0.0,0.0,-0.45454545454545453,-1.0,0.0,-0.5,0.0,2.0,-0.5,0.0,0.0,-1.0,-0.09938215792646173,-0.15995257225062084,0
0.0,0.0,0.0,0.4318181818181818,-1.0,0.0,-0.5,1.0,0.0,0.5,1.0,-1.0,1.0,-0.07707956600361664,-0.04061208329705774,0
0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.5,1.0,2.0,0.5,1.0,-1.0,-1.0,1.489376130198915,2.5081070772649445,0
0.0,1.0,0.0,0.9545454545454546,-1.0,2.0,-0.5,1.0,2.0,0.5,2.0,0.0,-1.0,-0.0469409282700422,0.20420465239688404,0
1.0,1.0,1.0,0.9772727272727273,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,1.4441681735985534,0.33381009829649805,0
0.0,0.0,0.0,0.9318181818181818,0.0,2.0,0.5,1.0,0.0,-0.5,2.0,-1.0,-1.0,-0.027350813743218808,4.905530058994482,0
0.0,0.0,0.0,-0.09090909090909091,-1.0,2.0,-0.5,1.0,0.0,-0.5,0.0,-1.0,1.0,-0.1243972272453285,0.20578834123104858,0
0.0,1.0,0.0,0.4772727272727273,-1.0,2.0,0.5,0.0,2.0,0.5,2.0,-1.0,-1.0,1.1277124773960217,0.04584406054500454,0
0.0,0.0,0.0,0.5227272727272727,0.0,0.0,-0.5,1.0,0.0,0.5,0.0,0.0,-1.0,-0.04046112115732369,3.2254103288019933,0
0.0,1.0,1.0,1.1363636363636365,0.0,2.0,-0.5,0.0,0.0,-0.5,2.0,-1.0,-2.0,1.0161995177817962,0.2246267759494878,0
0.0,0.0,1.0,-0.4772727272727273,1.0,1.0,0.0,0.5,1.0,0.0,0.0,-1.0,1.0,-0.13675406871609402,-0.2484318578494169,0
